epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,68806.2,0.61225,1.0529,0.49556,0.92895,0,0.82476,0.75037,0.81401,0.65021,0.72279,0.52174,0.52627,0.13395,0.63496,0.81338,0.84358,1.07095,0,0.00013701,0.00013701,0.00013701
89,69045.4,0.62191,1.02143,0.49812,0.93643,0,0.76031,0.7971,0.81043,0.64716,0.54589,0.57971,0.4619,0.13256,0.69289,0.80385,0.8239,1.12269,0,0.000131601,0.000131601,0.000131601
90,69293.3,0.63157,1.04404,0.50946,0.93717,0,0.7055,0.84058,0.78854,0.63733,0.67581,0.51368,0.49522,0.14414,0.62725,0.82257,0.83041,1.08155,0,0.000126604,0.000126604,0.000126604
91,69497.7,0.54916,0.7618,0.49424,0.94832,0,0.74592,0.76587,0.78445,0.67275,0.62233,0.50156,0.43005,0.12233,0.60196,0.83589,0.81411,1.04319,0,0.000122025,0.000122025,0.000122025
92,69705,0.57671,0.81082,0.51885,0.96927,0,0.75811,0.75362,0.78578,0.65222,0.72723,0.49275,0.50207,0.11999,0.58722,0.82532,0.78323,1.02911,0,0.000117868,0.000117868,0.000117868
93,69916.4,0.54816,0.73172,0.47346,0.95799,0,0.69919,0.85507,0.79889,0.6493,0.6717,0.52174,0.49589,0.13622,0.63447,0.80846,0.75728,1.09443,0,0.000114138,0.000114138,0.000114138
94,70128.2,0.56478,0.76406,0.47629,0.96332,0,0.73265,0.75362,0.79807,0.65761,0.58288,0.5942,0.49763,0.14168,0.6128,0.80613,0.78641,1.06181,0,0.000110837,0.000110837,0.000110837
95,70343.2,0.54992,0.76793,0.46936,0.95562,0,0.70616,0.75362,0.77442,0.64592,0.71954,0.48344,0.48281,0.13803,0.61735,0.812,0.81654,1.08057,0,0.000107971,0.000107971,0.000107971
96,70551.7,0.55765,0.77172,0.47992,0.95571,0,0.80479,0.71707,0.79715,0.63024,0.64902,0.55072,0.52412,0.14299,0.63905,0.79559,0.77866,1.12507,0,0.00010554,0.00010554,0.00010554
97,70762.8,0.54364,0.76621,0.4825,0.94887,0,0.75545,0.78261,0.79425,0.6158,0.60771,0.51643,0.46003,0.12713,0.67115,0.8073,0.74976,1.14112,0,0.000103548,0.000103548,0.000103548
98,70971,0.52229,0.76111,0.46569,0.93039,0,0.76928,0.72484,0.79344,0.6124,0.52331,0.6087,0.50312,0.13393,0.67256,0.82422,0.84835,1.14905,0,0.000101997,0.000101997,0.000101997
99,71187,0.5083,0.75378,0.43566,0.9264,0,0.80298,0.70884,0.79898,0.64708,0.57549,0.50725,0.45823,0.12601,0.59936,0.82429,0.88674,1.08403,0,0.000100888,0.000100888,0.000100888
100,71399.5,0.52053,0.77406,0.45287,0.93576,0,0.69662,0.7971,0.78883,0.6349,0.50972,0.6087,0.49264,0.13282,0.66599,0.81197,0.80542,1.13139,0,0.000100222,0.000100222,0.000100222
